generation,best_fitness,avg_fitness,std_fitness,best_G,best_tct,best_Makespan,best_profit,best_imbalance,ideal_G,ideal_tct,ideal_Makespan,ideal_profit,ideal_imbalance,weight_G,weight_travel,weight_Makespan,weight_profit,weight_imbalance,hypervolume,pareto_front_size,genotypic_diversity,phenotypic_diversity,priority_diversity,elapsed_time_seconds
0,0.062106703146374835,0.1567005150403775,0.0415399682505722,-18226.48814654987,446.0330699233304,20071.48814654987,-3463.0,0.816496580927726,-2643.79941122084,98.34284512695592,4818.79941122084,-3690.0,0.4714045207910317,1.0,1.0,1.0,1.0,1.0,0.80771267639091,35,0.36545224991329917,0.1440071676751226,0.1664748011751873,0.0
1,0.04296545914069082,0.09662174792161485,0.044772761139210214,-4183.126272148905,130.5234640031022,6265.126272148905,-3180.0,0.4714045207910317,-699.1076663618178,60.58178069373205,2302.107666361818,-3690.0,0.4714045207910317,0.3,0.2497,0.2497,0.1003,0.1003,1.3526507651824888,12,0.4335078644645528,0.1440071676751226,0.1664748011751873,0.6863052845001221
2,0.0392586352148273,0.08529544254764417,0.04208639731021562,-4356.581605484058,134.26211678091786,6444.581605484058,-3224.0,0.4714045207910317,-699.1076663618178,60.58178069373205,2302.107666361818,-3690.0,0.4714045207910317,0.3,0.2494,0.2494,0.10060000000000001,0.10060000000000001,1.26080937458606,10,0.3538895066522186,0.1955333078396264,0.09351044129456204,1.1089210510253906
3,0.03850042122999158,0.0620197054624978,0.024317148538583792,-4056.3731162102285,129.28453438745166,6076.3731162102285,-3233.0,2.8674417556808756,-699.1076663618178,60.58178069373205,2302.107666361818,-3690.0,0.0,0.3,0.2491,0.2491,0.1009,0.1009,1.3171828430834545,14,0.32948739343544436,0.19620294935641008,0.04600429219062734,1.5395700931549072
4,0.031002527379949452,0.05285484889738709,0.018326842802138834,-3159.733899945534,108.24965744564966,5087.733899945534,-3322.0,1.8856180831641267,-699.1076663618178,60.58178069373205,2302.107666361818,-3690.0,0.0,0.3,0.2488,0.2488,0.10120000000000001,0.10120000000000001,1.2879286454344274,7,0.2752925322073058,0.17446938754721136,0.04177261547952966,1.9872899055480957
5,0.031002527379949452,0.04891501578728849,0.011286627607353841,-3159.733899945534,108.24965744564966,5087.733899945534,-3322.0,1.8856180831641267,-699.1076663618178,60.58178069373205,2302.107666361818,-3690.0,0.0,0.3,0.2485,0.2485,0.1015,0.1015,1.3434809585473602,18,0.2682022681880146,0.17731298585365388,0.03791201437099291,2.4240171909332275
6,0.031002527379949452,0.048523883915068275,0.010111350931818483,-3159.733899945534,108.24965744564966,5087.733899945534,-3322.0,1.8856180831641267,-699.1076663618178,60.58178069373205,2302.107666361818,-3690.0,0.0,0.3,0.2482,0.2482,0.1018,0.1018,1.3354878829195131,13,0.30886296701508714,0.18926147148304098,0.03845467338808183,2.8780040740966797
7,0.02662173546756529,0.04529373519564586,0.009339262059486472,-3087.850122349313,111.15222494109585,5001.850122349313,-3374.0,1.632993161855452,-699.1076663618178,60.58178069373205,2302.107666361818,-3690.0,0.0,0.3,0.2479,0.2479,0.10210000000000001,0.10210000000000001,1.33669764563817,7,0.3394532439025456,0.2006365279772617,0.03532283386771679,3.3092195987701416
8,0.02569502948609941,0.045723336765766384,0.01092744612392675,-2534.289571960094,96.31064286869768,4430.289571960094,-3385.0,2.8674417556808756,-699.1076663618178,60.58178069373205,2302.107666361818,-3690.0,0.0,0.3,0.2476,0.2476,0.1024,0.1024,1.3967148137991732,18,0.37468923870468673,0.20555194260216242,0.03590201543156774,3.7233328819274902
9,0.02569502948609941,0.04484949735460132,0.011305679738939561,-2534.289571960094,96.31064286869768,4430.289571960094,-3385.0,2.8674417556808756,-699.1076663618178,60.58178069373205,2302.107666361818,-3690.0,0.0,0.3,0.2473,0.2473,0.10270000000000001,0.10270000000000001,1.370827700436718,15,0.39667013422650194,0.21304567281388564,0.038862917694270194,4.204146385192871
